problem,repeat_candidate_rows
Illegal Parking,496381
Noise - Residential,361760
HEAT/HOT WATER,321417
Blocked Driveway,152378
Noise - Street/Sidewalk,134670
UNSANITARY CONDITION,99102
Street Condition,69247
Water System,63576
Snow or Ice,62297
PLUMBING,58628
PAINT/PLASTER,47522
Abandoned Vehicle,44643
Dirty Condition,44127
Noise - Commercial,40671
Traffic Signal Condition,38686
Encampment,36635
Noise,34850
DOOR/WINDOW,34351
WATER LEAK,28228
Noise - Vehicle,27317
Homeless Person Assistance,24281
Missed Collection,23631
GENERAL,22798
Derelict Vehicles,22762
ELECTRIC,20417
Damaged Tree,19418
Illegal Dumping,19378
Drug Activity,18873
General Construction/Plumbing,18516
Street Light Condition,18497
Vendor Enforcement,17956
FLOORING/STAIRS,17834
Noise - Helicopter,14909
APPLIANCE,13977
Sewer,13688
Rodent,13626
Elevator,13548
Maintenance or Facility,12806
Non-Emergency Police Matter,12717
Sidewalk Condition,11671
Graffiti,10885
Building/Use,10675
For Hire Vehicle Complaint,10189
Obstruction,8906
Illegal Fireworks,8805
Overgrown Tree/Branches,8787
Lead,8277
Traffic,7592
SAFETY,7059
Consumer Complaint,6687
Panhandling,6472
Taxi Complaint,6238
Noise - Park,5300
Highway Condition,5231
Residential Disposal Complaint,4769
Food Establishment,4119
Dead Animal,4014
Animal-Abuse,3643
Air Quality,3567
Street Sweeping Complaint,3281
Dead/Dying Tree,3122
Illegal Posting,3069
Root/Sewer/Sidewalk Condition,3062
Lost Property,2848
Curb Condition,2643
Noise - House of Worship,2490
Indoor Air Quality,2330
Construction Safety Enforcement,2090
Water Conservation,2062
Smoking or Vaping,2007
Mobile Food Vendor,1892
Animal in a Park,1618
Drinking,1498
Real Time Enforcement,1476
Street Sign - Damaged,1344
Outdoor Dining,1236
Violation of Park Rules,1214
Illegal Tree Damage,1186
Litter Basket Request,969
Boilers,850
Special Projects Inspection Team (SPIT),742
Street Sign - Dangling,685
School Maintenance,662
Cannabis Retailer,614
Bus Stop Shelter Complaint,613
Emergency Response Team (ERT),604
Hazardous Materials,580
Street Sign - Missing,574
Broken Parking Meter,564
Plumbing,562
Unsanitary Animal Pvt Property,472
Non-Residential Heat,449
ELEVATOR,444
Sanitation Worker or Vehicle Complaint,429
Food Poisoning,368
Asbestos,321
Bridge Condition,313
Abandoned Bike,306
Electrical,293
Urinating in Public,292
Day Care,290
Dumpster Complaint,277
Lot Condition,269
Bike/Roller/Skate Chronic,237
OUTSIDE BUILDING,229
Wood Pile Remaining,217
Unleashed Dog,211
Litter Basket Complaint,206
Unsanitary Pigeon Condition,205
Commercial Disposal Complaint,199
Ferry Inquiry,197
Standing Water,187
Taxi Report,180
Construction Lead Dust,178
Water Quality,148
Special Operations,125
New Tree Request,114
Illegal Animal Kept as Pet,110
Industrial Waste,102
Bike Rack,76
E-Scooter,74
Pet Sale,71
Investigations and Discipline (IAD),66
Plant,65
Green Taxi Complaint,64
BEST/Site Safety,61
Bike/Roller/Skate,61
Ferry Complaint,60
Mosquitoes,52
Indoor Sewage,49
Harboring Bees/Wasps,43
Mold,43
Bus Stop Shelter Placement,37
Drinking Water,34
Municipal Parking Facility,30
Tattooing,29
For Hire Vehicle Report,28
SNW,27
Beach/Pool/Sauna Complaint,26
Bench,24
Highway Sign - Damaged,23
Disorderly Youth,18
Recycling Basket Complaint,16
LinkNYC,16
Uprooted Stump,14
Animal Facility - No Permit,14
Tobacco or Non-Tobacco Sale,12
Posting Advertisement,12
Highway Sign - Missing,10
Lifeguard,9
Poison Ivy,8
Illegal Animal Sold,8
Scaffold Safety,8
Taxi Compliment,7
Green Taxi Report,7
Unsanitary Animal Facility,7
X-Ray Machine/Equipment,6
Dept of Investigations,6
AHV Inspection Unit,6
Incorrect Data,6
Cooling Tower,6
Special Natural Area District (SNAD),5
Building Drinking Water Tank,4
Cranes and Derricks,2
Institution Disposal Complaint,2
Highway Sign - Dangling,2
Public Toilet,2
Tanning,2
Tunnel Condition,2
Wayfinding,2
