problem,request_count
Illegal Parking,501365
Noise - Residential,369414
HEAT/HOT WATER,329068
Blocked Driveway,161274
Noise - Street/Sidewalk,144663
UNSANITARY CONDITION,108095
Street Condition,82148
Water System,75661
PLUMBING,67233
Snow or Ice,63938
Dirty Condition,57463
Abandoned Vehicle,56794
PAINT/PLASTER,54777
Noise - Commercial,50305
Traffic Signal Condition,49133
Noise,47604
DOOR/WINDOW,42499
Encampment,40773
Noise - Vehicle,37543
WATER LEAK,37491
Derelict Vehicles,33691
Homeless Person Assistance,32280
Missed Collection,32210
Illegal Dumping,31901
GENERAL,31472
General Construction/Plumbing,30428
Street Light Condition,30363
ELECTRIC,28844
Damaged Tree,28219
FLOORING/STAIRS,24724
Sewer,23816
Rodent,23239
Vendor Enforcement,22789
Sidewalk Condition,22235
Drug Activity,22045
Maintenance or Facility,21847
Non-Emergency Police Matter,21484
APPLIANCE,20970
Elevator,20617
Building/Use,19285
Obstruction,17745
Consumer Complaint,16367
Lead,15901
Noise - Helicopter,15876
Overgrown Tree/Branches,15782
For Hire Vehicle Complaint,15609
Graffiti,14941
Residential Disposal Complaint,11659
SAFETY,11588
Food Establishment,11146
Traffic,10589
Illegal Fireworks,10395
Panhandling,10353
Animal-Abuse,9482
Taxi Complaint,8955
Dead Animal,8730
Root/Sewer/Sidewalk Condition,8612
Dead/Dying Tree,8181
Air Quality,7981
Indoor Air Quality,7971
Noise - Park,7961
Curb Condition,6854
Street Sweeping Complaint,6723
Smoking or Vaping,6136
Lost Property,5613
Water Conservation,5361
Highway Condition,5235
Real Time Enforcement,4753
Street Sign - Damaged,4618
Illegal Posting,4493
Illegal Tree Damage,4408
Animal in a Park,4262
Drinking,3830
Boilers,3746
Mobile Food Vendor,3651
Special Projects Inspection Team (SPIT),3486
Street Sign - Dangling,3235
Litter Basket Request,3188
Violation of Park Rules,3153
Noise - House of Worship,3062
Plumbing,2909
Street Sign - Missing,2875
Emergency Response Team (ERT),2807
Sanitation Worker or Vehicle Complaint,2797
Outdoor Dining,2716
Food Poisoning,2547
Unsanitary Animal Pvt Property,2501
Broken Parking Meter,2362
Cannabis Retailer,2170
Construction Safety Enforcement,2110
Hazardous Materials,2047
Electrical,2044
Bus Stop Shelter Complaint,1785
School Maintenance,1705
Dumpster Complaint,1699
Abandoned Bike,1625
ELEVATOR,1579
Non-Residential Heat,1554
Unsanitary Pigeon Condition,1458
Day Care,1448
Unleashed Dog,1411
Asbestos,1385
Urinating in Public,1317
Lot Condition,1312
Litter Basket Complaint,1162
Commercial Disposal Complaint,1141
Construction Lead Dust,1140
Water Quality,1100
Bike/Roller/Skate Chronic,1066
Standing Water,1021
Wood Pile Remaining,981
OUTSIDE BUILDING,873
Industrial Waste,740
Taxi Report,710
Illegal Animal Kept as Pet,585
Investigations and Discipline (IAD),572
New Tree Request,567
Bike Rack,507
Indoor Sewage,474
Harboring Bees/Wasps,445
BEST/Site Safety,437
Bike/Roller/Skate,397
For Hire Vehicle Report,387
Bridge Condition,386
Green Taxi Complaint,365
E-Scooter,358
Mold,326
Mosquitoes,319
Drinking Water,315
Ferry Inquiry,305
Bus Stop Shelter Placement,261
Pet Sale,241
Uprooted Stump,217
Beach/Pool/Sauna Complaint,191
Plant,179
Disorderly Youth,173
Tattooing,168
LinkNYC,163
Ferry Complaint,146
Special Operations,126
Bench,117
Posting Advertisement,116
Poison Ivy,112
Scaffold Safety,110
Illegal Animal Sold,108
Tobacco or Non-Tobacco Sale,102
Recycling Basket Complaint,99
Taxi Compliment,97
Animal Facility - No Permit,86
Unsanitary Animal Facility,85
Highway Sign - Damaged,76
Municipal Parking Facility,71
Found Property,65
Building Drinking Water Tank,62
Cranes and Derricks,58
Highway Sign - Missing,47
Green Taxi Report,47
Institution Disposal Complaint,44
Public Toilet,43
Lifeguard,35
Incorrect Data,35
Special Natural Area District (SNAD),34
SNW,33
Unspecified,30
Cooling Tower,30
AHV Inspection Unit,27
Dept of Investigations,23
Window Guard,20
Highway Sign - Dangling,18
Radioactive Material,16
Wayfinding,13
DEP Street Condition,11
Borough Office,11
X-Ray Machine/Equipment,9
Tanning,7
Taxi Licensee Complaint,7
Transfer Station Complaint,7
Tunnel Condition,6
Squeegee,6
Oil or Gas Spill,6
DEP Highway Condition,6
Public Payphone Complaint,5
Pet Shop,4
Building Marshal's Office,4
FHV Licensee Complaint,4
Leaning Bar,3
Calorie Labeling,2
Safety,1
Trapping Pigeon,1
Building Condition,1
DEP Sidewalk Condition,1
DSNY Internal,1
