threshold,precision,recall,f1,flagged_share
0.1,0.588218785542311,0.9945804195804195,0.7392357598314476,0.5555455261603098
0.15,0.5909334046536507,0.9932817182817183,0.7410147006763429,0.5522713844941902
0.2,0.5952156122127793,0.9917832167832168,0.7439512163136843,0.5474709512243157
0.25,0.6034183347043232,0.9893106893106893,0.7496167893571524,0.5386824656994682
0.3,0.6161790017211703,0.9835164835164835,0.7576719576719577,0.5244370773977549
0.35,0.6320708870601957,0.9745004995004996,0.7667924379986637,0.506564695069914
0.4,0.6491476077481025,0.9633616383616384,0.775640703391279,0.4876009321866999
0.45,0.6653382972401377,0.9506993006993008,0.782824180230944,0.4694823737937373
0.5,0.6839603670798142,0.9344155844155844,0.7898081104473201,0.44887743714304473
0.55,0.7072346048463886,0.9089660339660339,0.7955104315799827,0.4222822162410556
0.6,0.7375306969260733,0.8700799200799201,0.7983408955497502,0.38761242040307226
0.65,0.7705146036161336,0.8163336663336663,0.7927626393082791,0.34810116195102736
0.7,0.8057475251487579,0.7541708291708291,0.7791065185701201,0.30753134641895885
0.75,0.8346490034177176,0.6892107892107893,0.7549895353131882,0.2713106413707083
0.8,0.8602577156700959,0.6119130869130869,0.7151384247165102,0.23371135035777588
0.85,0.8876510412203273,0.5173826173826174,0.6537284231121209,0.19150856692706625
0.9,0.9080747414080748,0.4078171828171828,0.5628554686153528,0.14755793343399198
