feature,coefficient,abs_coefficient
agency_name_TAXI AND LIMOUSINE COMMISSION,-3.401107551395465,3.401107551395465
community_board_03 QUEENS,-1.7856694601060994,1.7856694601060994
complaint_type_INDUSTRIAL WASTE,-1.344228088938127,1.344228088938127
community_board_01 BROOKLYN,1.0990462049472263,1.0990462049472263
agency_name_DEPARTMENT OF PARKS AND RECREATION,0.9579476707411281,0.9579476707411281
descriptor_1R MISSED RECYCLING-ALL MATERIALS,-0.9131387825399744,0.9131387825399744
descriptor_NON-CHRONIC,-0.8258197595647843,0.8258197595647843
complaint_type_MAINTENANCE OR FACILITY,-0.8241569245186292,0.8241569245186292
"descriptor_AIR: SMOKE, VEHICULAR (AA4)",-0.8034830411076325,0.8034830411076325
complaint_type_DRUG ACTIVITY,-0.7706705953578947,0.7706705953578947
descriptor_IN PUBLIC,-0.7706705953578947,0.7706705953578947
complaint_type_PAINT/PLASTER,0.7537278226151088,0.7537278226151088
agency_name_DEPARTMENT OF CONSUMER AFFAIRS,0.729153491338185,0.729153491338185
community_board_02 QUEENS,0.6994102366028426,0.6994102366028426
agency_name_DEPARTMENT OF SANITATION,0.6948005146206491,0.6948005146206491
complaint_type_HOMELESS PERSON ASSISTANCE,0.6927708611404506,0.6927708611404506
complaint_type_STREET SIGN - DAMAGED,-0.6842644030394397,0.6842644030394397
complaint_type_LITTER BASKET / REQUEST,-0.6751991200195622,0.6751991200195622
community_board_03 BROOKLYN,0.6486428662916189,0.6486428662916189
community_board_01 MANHATTAN,-0.6452970568482577,0.6452970568482577
complaint_type_PLUMBING,0.643160835224459,0.643160835224459
agency_name_MAYOR'S OFFICE OF SPECIAL ENFORCEMENT,0.643160835224459,0.643160835224459
zip_code_11429,0.6294847319123049,0.6294847319123049
descriptor_2R BULK-MISSED RECY COLLECTION,0.6062565346026055,0.6062565346026055
agency_name_infrequent_sklearn,0.6059068204966869,0.6059068204966869
descriptor_RAT OR MOUSE,0.5981963005731485,0.5981963005731485
complaint_type_NONCOMPLIANCE WITH PHASED REOPENING,0.5905439665838799,0.5905439665838799
zip_code_10039,-0.5898721041013145,0.5898721041013145
complaint_type_NON-EMERGENCY POLICE MATTER,0.5881036034317056,0.5881036034317056
community_board_01 STATEN ISLAND,0.5828817253394661,0.5828817253394661
complaint_type_ILLEGAL POSTING,0.5828577525707724,0.5828577525707724
descriptor_FOR ONE ADDRESS,-0.5537456302950046,0.5537456302950046
complaint_type_GENERAL,0.5500914158171418,0.5500914158171418
location_type_3+ FAMILY APT. BUILDING,0.5434387088586458,0.5434387088586458
descriptor_PLUMBING WORK - ILLEGAL/NO PERMIT/STANDPIPE/SPRINKLER,-0.5324760288440844,0.5324760288440844
complaint_type_ILLEGAL DUMPING,0.5292835290475573,0.5292835290475573
descriptor_CATCH BASIN SEARCH (SC2),-0.5184083293744773,0.5184083293744773
descriptor_LOW WATER PRESSURE - WLWP,0.5101699623836281,0.5101699623836281
complaint_type_COMMERCIAL DISPOSAL COMPLAINT,0.5073560956035197,0.5073560956035197
complaint_type_UNSANITARY CONDITION,0.5071486204048642,0.5071486204048642
complaint_type_DUMPSTER COMPLAINT,-0.49612714331978236,0.49612714331978236
descriptor_TRASH,-0.46155196263817383,0.46155196263817383
community_board_03 BRONX,-0.46005554976731383,0.46005554976731383
complaint_type_UNLEASHED DOG,-0.455706736852524,0.455706736852524
descriptor_ALLOWED IN SMOKE FREE AREA,-0.44623786691703327,0.44623786691703327
descriptor_CHEMICAL ODOR (HD1),-0.42821174428108033,0.42821174428108033
descriptor_POST,0.4230362101382141,0.4230362101382141
complaint_type_OVERGROWN TREE/BRANCHES,0.4230362101382141,0.4230362101382141
complaint_type_RESIDENTIAL DISPOSAL COMPLAINT,-0.41223655035654544,0.41223655035654544
zip_code_10005,-0.40593468358971774,0.40593468358971774
