complaint_type,count,mean,median
Illegal Parking,23430,2.5409594418362023,1.4593055555555556
HEAT/HOT WATER,18259,45.767989986673236,43.55138888888889
Noise - Residential,13839,2.23526376745269,1.1883333333333332
Blocked Driveway,7109,2.671438786514747,1.5686111111111112
Street Condition,6680,48.2581126912841,15.149305555555557
Noise - Street/Sidewalk,4080,1.9688341503267974,1.0270833333333333
Abandoned Vehicle,3043,3.6048325848030087,2.136388888888889
UNSANITARY CONDITION,2539,351.1775134567415,187.38111111111112
Dirty Condition,2418,33.08641726403823,22.003055555555555
Traffic Signal Condition,2196,13.158022161505768,2.2333333333333334
Noise - Commercial,2139,1.7590697885824114,0.9363888888888889
Water System,2002,68.18588078588078,2.6
Noise,1949,78.96669232084831,50.083333333333336
PLUMBING,1913,247.5336352151943,106.34694444444445
PAINT/PLASTER,1653,247.28955249714326,125.59694444444445
Noise - Vehicle,1650,1.7320819865319865,0.9168055555555555
General Construction/Plumbing,1575,109.04060846560847,12.47
Derelict Vehicles,1473,27.85360941389455,18.383333333333333
Encampment,1361,11.147662462241815,1.6066666666666667
Building/Use,1285,129.63889126675315,0.0
Illegal Dumping,1271,71.7088512981904,51.30361111111111
DOOR/WINDOW,1116,334.5428830645161,177.64138888888888
Missed Collection,1092,53.11092948717949,46.31986111111111
Homeless Person Assistance,1045,11.42008293460925,4.6097222222222225
WATER LEAK,1008,360.25674796075833,171.37152777777777
